Year,Month,DomesticPassengers,InternationalPassengers,TotalPassengers,DomesticFlights,InternationalFlights,TotalFlights
2019,1,"58,034,262","18,690,817","76,725,079","667,659","135,773","803,432"
2019,2,"55,679,481","16,280,536","71,960,017","608,029","119,724","727,753"
2019,3,"70,234,684","20,295,947","90,530,631","729,251","140,966","870,217"
2019,4,"66,938,654","20,019,304","86,957,958","709,126","141,759","850,885"
2019,5,"71,365,660","20,995,113","92,360,773","740,639","139,760","880,399"
2019,6,"72,790,418","22,747,453","95,537,871","741,605","144,559","886,164"
2019,7,"75,281,916","23,907,859","99,189,775","768,825","151,106","919,931"
2019,8,"72,729,540","23,239,338","95,968,878","769,850","147,707","917,557"
2019,9,"63,991,365","18,842,310","82,833,675","705,233","123,258","828,491"
2019,10,"69,936,836","18,973,444","88,910,280","740,347","126,977","867,324"
2019,11,"64,827,417","17,575,113","82,402,530","694,547","120,443","814,990"
2019,12,"69,737,526","19,859,635","89,597,161","721,601","131,526","853,127"
2019,TOTAL,"811,547,759","241,426,869","1,052,974,628","8,596,712","1,623,558","10,220,270"
2020,1,"61,626,465","18,946,132","80,572,597","700,696","129,476","830,172"
2020,2,"59,861,408","15,823,231","75,684,639","660,464","115,512","775,976"
2020,3,"34,417,701","8,927,886","43,345,587","616,226","88,224","704,450"
2020,4,"2,879,556","396,394","3,275,950","217,243","9,017","226,260"
2020,5,"8,238,757","369,317","8,608,074","214,411","7,838","222,249"
2020,6,"16,207,969","801,741","17,009,710","273,131","11,799","284,930"
2020,7,"22,878,828","1,853,462","24,732,290","410,014","25,261","435,275"
2020,8,"23,910,340","2,267,701","26,178,041","435,303","28,147","463,450"
2020,9,"23,854,435","2,265,050","26,119,485","379,498","29,056","408,554"
2020,10,"28,026,415","2,951,660","30,978,075","410,113","35,599","445,712"
2020,11,"26,290,900","3,514,555","29,805,455","420,110","42,153","462,263"
2020,TOTAL,"308,192,774","58,117,129","366,309,903","4,737,209","522,082","5,259,291"
